nombre,poblacion,superficie,continente
Argentina,45376763,2780400,América
Brasil,213993437,8515767,América
Chile,19458310,756102,América
Colombia,51874024,1141748,América
México,130262216,1964375,América
Perú,33359418,1285216,América
Venezuela,28887118,912050,América
Estados Unidos,331002651,9833517,América
Canadá,38005238,9984670,América
Bolivia,11832940,1098581,América
Japón,125800000,377975,Asia
China,1444216107,9596960,Asia
India,1393409038,3287263,Asia
Corea del Sur,51780579,100210,Asia
Indonesia,276361783,1904569,Asia
Turquía,84339067,783356,Asia
Arabia Saudita,35013414,2149690,Asia
Tailandia,69950850,513120,Asia
Vietnam,97338579,331212,Asia
Filipinas,111046913,300000,Asia
Alemania,83149300,357022,Europa
Francia,67391582,551695,Europa
Reino Unido,67886011,243610,Europa
Italia,60461826,301340,Europa
España,47351567,505990,Europa
Polonia,37846611,312696,Europa
Países Bajos,17134872,41543,Europa
Bélgica,11589623,30528,Europa
Suecia,10379295,450295,Europa
Portugal,10196709,92212,Europa
Nigeria,211400708,923768,África
Etiopía,117876227,1104300,África
Egipto,104258327,1001449,África
República Democrática del Congo,102262808,2344858,África
Tanzania,61498437,945087,África
Kenia,54985698,580367,África
Sudáfrica,60041994,1219090,África
Uganda,47123531,241038,África
Argelia,44616624,2381741,África
Marruecos,37457971,710850,África
Australia,25788215,7692024,Oceanía
Nueva Zelanda,5002100,268021,Oceanía
Papúa Nueva Guinea,9119386,462840,Oceanía
Fiyi,930748,18274,Oceanía
